Nama pembeli,Tanggal pembelian,Review Only,Review All,Rating,Like,Media
s*****e,2022-08-24 18:06,Semoga aja bekas jerawat dimuka aku bisa hilang dg pakai ini....,Tekstur: okPerforma: okCocok Untuk: semua kulitSemoga aja bekas jerawat dimuka aku bisa hilang dg pakai ini....,"<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,0:04
vitaseptiani1,2022-12-18 16:13,Penasaran bgt karena baca review nya sebagus itu akhirnya nyobain juga aahh suka bgt dapet gift banyak thank you 😘😘🥰🥰❤️❤️❤️❤️,Tekstur: belum tauPerforma: baru beliCocok Untuk: semua jenis kulitPenasaran bgt karena baca review nya sebagus itu akhirnya nyobain juga aahh suka bgt dapet gift banyak thank you 😘😘🥰🥰❤️❤️❤️❤️,"<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,
r*****3,2022-07-10 14:05,,"kemaren udah nyobain lipcreamnya suka banget, sekarang jatuh cinta lagi sama double shot C Day A Night deep brightening serum, puas banget harga segini udah dapet 2 serum buat pagi dan malam, pertama kalinya nemu Dual Serum for Vit C + A di Indonesia. baru 3 hari pake udah ada efek di wajahku","<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,
audiasyifa98,2022-09-11 08:59,"Sangat baik dan bagus sekali, saat di pakai mudah","Tekstur: cairPerforma: baikCocok Untuk: semua kulitSangat baik dan bagus sekali, saat di pakai mudah","<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,0:09
racunmoonie,2022-07-09 19:51,,Setelah jatuh cinta sama liptint nya sekarang bisa secinta itu sama double shot C Day A Night deep brightening serum. Worth it harga segini udh dapetin 2 serum dengan kandungan PRO-V+sepiwhite MSH+Niacinamide PC di siang hari dan retinyl+palmitate+bisabolol+allantoin kandungan di malam harinya. Kand,"<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,
oieyuree,2022-08-29 20:41,sumpahhh ini ganyangka banget padahal cuma beli serum tapi dapet semua ini??,Tekstur: kentelPerforma: bagusCocok Untuk: semuasumpahhh ini ganyangka banget padahal cuma beli serum tapi dapet semua ini??,"<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,0:24
c*****a,2022-08-14 15:24,Cepat menyerap pakai skincare mudah n simple ya ini. I luv it.,Tekstur: cairPerforma: baikCocok Untuk: kulitCepat menyerap pakai skincare mudah n simple ya ini. I luv it.,"<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,0:35
anggreliaan,2022-07-13 12:59,,Cocok Untuk: baru pertama kali coba semoga cocok dan ampuh sesuai dengan fungsinya,"<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,0:06
w*****7,2022-09-12 18:58,makaaaasiiiiiii bnb❤️ luvvvv bgtttt mana di kasih voucher lagi😬 baru mau coba mudah mudahan aku cocok pake ini💯👍,Tekstur: cairPerforma: belum dicobaCocok Untuk: semua kulitmakaaaasiiiiiii bnb❤️ luvvvv bgtttt mana di kasih voucher lagi😬 baru mau coba mudah mudahan aku cocok pake ini💯👍,"<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,0:06
s*****n,2023-06-12 18:39,Wow bonus dpt 1…baru nyoba dan bnb slalu bagusllah produknya,Pengalaman Penggunaan: newProfil Kecantikan: serumManfaat: skincareWow bonus dpt 1…baru nyoba dan bnb slalu bagusllah produknya,"<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,0:04
adieennn,2022-07-07 23:17,,finally this bnb double shot! c day a night deep brightening double serum arrived! serum dual-chamber consisting of c day for radiant skin & a night for firm & supple skin. teksturnya sendiri cpt bgt meresapnya + ga lengket! dual serum bnb ini yg pertama loh di indo. pls gausah ragu buat co yall 😋❗,"<svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg><svg enable-background=""new 0 0 15 15"" viewBox=""0 0 15 15"" x=""0"" y=""0"" class=""shopee-svg-icon icon-rating-solid--active icon-rating-solid""><polygon points=""7.5 .8 9.7 5.4 14.5 5.9 10.7 9.1 11.8 14.2 7.5 11.6 3.2 14.2 4.3 9.1 .5 5.9 5.3 5.4"" stroke-linecap=""round"" stroke-linejoin=""round"" stroke-miterlimit=""10""></polygon></svg>",Membantu?,
